snapshot_version,property_id,property_name,floor,canonical_name,canonical_key,equipment_type,discrepancy_category,status,in_topics,in_drawings,topics_raw_label,topics_inferred_type,drawing_raw_label,drawing_equipment_type,review_required,review_reason
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EVAV_02_1,EVAV_2_1,VAV,drawing_only,review_required,false,true,,,EVAV_02_1,VAV,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,EVAV_02_2,EVAV_2_2,VAV,drawing_only,review_required,false,true,,,EVAV_02_2,VAV,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_02_1,FCU_2_1,FCU,drawing_only,review_required,false,true,,,FCU_02_1,FCU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_02_2,FCU_2_2,FCU,drawing_only,review_required,false,true,,,FCU_02_2,FCU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_02_3,FCU_2_3,FCU,drawing_only,review_required,false,true,,,FCU_02_3,FCU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_02_4,FCU_2_4,FCU,drawing_only,review_required,false,true,,,FCU_02_4,FCU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_02_5,FCU_2_5,FCU,drawing_only,review_required,false,true,,,FCU_02_5,FCU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_02_6,FCU_2_6,FCU,drawing_only,review_required,false,true,,,FCU_02_6,FCU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_02_7,FCU_2_7,FCU,drawing_only,review_required,false,true,,,FCU_02_7,FCU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_02_8,FCU_2_8,FCU,drawing_only,review_required,false,true,,,FCU_02_8,FCU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_02_9,FCU_2_9,FCU,drawing_only,review_required,false,true,,,FCU_02_9,FCU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FCU_PM_02_1,FCU_PM_2_1,FCU,matched,settled,true,true,FCU_PM_2_01,FCU,FCU_PM_02_1,FCU,false,
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FPTU_2_01,FPTU_2_1,FPTU,matched,settled,true,true,FPTU_02_01,FPTU,FPTU_2_01,FPTU,false,
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FPTU_2_02,FPTU_2_2,FPTU,drawing_only,review_required,false,true,,,FPTU_2_02,FPTU,true,extracted from drawings but absent from BMS topics
w04,b470b97b-4ea7-481c-97b7-22a81a219587,msa_orient_building_1,Floor_02,FPTU_2_03,FPTU_2_3,FPTU,drawing_only,review_required,false,true,,,FPTU_2_03,FPTU,true,extracted from drawings but absent from BMS topics
