topic_id,topic_name,metadata,property_id,equipment_id,unit,kind,dis
109457,Floor_01/DEV36226_AHU_1_01/STATIC_PRESSURE_STPT,"{""units"": ""inchesOfWater"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,inchesOfWater,float,DEV36226_AHU_1_01/STATIC_PRESSURE_STPT
109490,Floor_01/DEV36226_AHU_1_01/SUPPLY_AIR_TEMP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36226_AHU_1_01/SUPPLY_AIR_TEMP
109443,Floor_01/DEV36226_AHU_1_01/SUPPLY_AIR_TEMP,"{""units"": ""degreesFahrenheit"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,degreesFahrenheit,float,DEV36226_AHU_1_01/SUPPLY_AIR_TEMP
109430,Floor_01/DEV36226_AHU_1_01/SUPPLY_FAN_ENABLE,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/SUPPLY_FAN_ENABLE
109447,Floor_01/DEV36226_AHU_1_01/SUPPLY_FAN_ENABLE,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/SUPPLY_FAN_ENABLE
109480,Floor_01/DEV36226_AHU_1_01/SUPPLY_FAN_SPEED,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/SUPPLY_FAN_SPEED
109465,Floor_01/DEV36226_AHU_1_01/SUPPLY_FAN_SPEED,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/SUPPLY_FAN_SPEED
109452,Floor_01/DEV36226_AHU_1_01/SUPPLY_FAN_STATUS,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/SUPPLY_FAN_STATUS
109435,Floor_01/DEV36226_AHU_1_01/SUPPLY_FAN_STATUS,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/SUPPLY_FAN_STATUS
109463,Floor_01/DEV36226_AHU_1_01/WWR_CONTROL_VALVE_CMD,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/WWR_CONTROL_VALVE_CMD
109478,Floor_01/DEV36226_AHU_1_01/WWR_CONTROL_VALVE_CMD,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/WWR_CONTROL_VALVE_CMD
109439,Floor_01/DEV36226_AHU_1_01/WWR_CONTROL_VALVE_POS,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/WWR_CONTROL_VALVE_POS
109486,Floor_01/DEV36226_AHU_1_01/WWR_CONTROL_VALVE_POS,"{""units"": ""percent"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percent,float,DEV36226_AHU_1_01/WWR_CONTROL_VALVE_POS
109446,Floor_01/DEV36226_AHU_1_01/WWS_ISO_VALVE_CMD,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/WWS_ISO_VALVE_CMD
109429,Floor_01/DEV36226_AHU_1_01/WWS_ISO_VALVE_CMD,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/WWS_ISO_VALVE_CMD
109434,Floor_01/DEV36226_AHU_1_01/WWS_ISO_VALVE_STATUS,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/WWS_ISO_VALVE_STATUS
109451,Floor_01/DEV36226_AHU_1_01/WWS_ISO_VALVE_STATUS,"{""units"": ""Enum"", ""type"": ""boolean"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,Enum,boolean,DEV36226_AHU_1_01/WWS_ISO_VALVE_STATUS
109484,Floor_01/DEV36226_AHU_1_01/ZONE_RH,"{""units"": ""percentRelativeHumidity"", ""type"": ""float"", ""tz"": """"}",b470b97b-4ea7-481c-97b7-22a81a219587,,percentRelativeHumidity,float,DEV36226_AHU_1_01/ZONE_RH
